model_id,condition_id,subject,perturbation_type,subject_accuracy,n,matched_n_x,macro_accuracy,matched_n_y,accuracy_delta,original_macro_accuracy,perturbed_macro_accuracy,condition_flip_rate,condition_mean_spearman
claude-haiku-4-5,original,anatomy,original,1.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,astronomy,original,1.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,business_ethics,original,1.0,4,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,clinical_knowledge,original,1.0,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,college_mathematics,original,0.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,computer_security,original,0.8,5,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,conceptual_physics,original,0.75,4,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,electrical_engineering,original,1.0,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,elementary_mathematics,original,1.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,global_facts,original,0.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_biology,original,0.5,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_chemistry,original,1.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_computer_science,original,1.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_european_history,original,1.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_geography,original,0.6666666666666666,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_government_and_politics,original,1.0,4,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_macroeconomics,original,0.5,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_mathematics,original,1.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_microeconomics,original,0.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_psychology,original,1.0,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,high_school_statistics,original,0.6666666666666666,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,human_aging,original,1.0,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,human_sexuality,original,0.75,4,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,international_law,original,1.0,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,jurisprudence,original,1.0,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,logical_fallacies,original,0.5,4,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,management,original,0.3333333333333333,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,marketing,original,1.0,5,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,miscellaneous,original,0.75,4,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,moral_disputes,original,1.0,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,moral_scenarios,original,0.0,1,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,nutrition,original,0.5,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,philosophy,original,1.0,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,prehistory,original,0.6666666666666666,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,professional_law,original,0.0,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,professional_psychology,original,1.0,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,public_relations,original,0.6666666666666666,3,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,security_studies,original,1.0,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,sociology,original,1.0,4,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,us_foreign_policy,original,0.75,4,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,virology,original,0.5,2,107,0.7850467289719626,107,,,,,
claude-haiku-4-5,original,world_religions,original,1.0,4,107,0.7850467289719626,107,,,,,
gpt-4o-mini,original,anatomy,original,1.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,astronomy,original,1.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,business_ethics,original,1.0,4,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,clinical_knowledge,original,1.0,2,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,college_mathematics,original,0.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,computer_security,original,1.0,5,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,conceptual_physics,original,0.75,4,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,electrical_engineering,original,1.0,3,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,elementary_mathematics,original,1.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,global_facts,original,0.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_biology,original,1.0,2,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_chemistry,original,0.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_computer_science,original,0.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_european_history,original,1.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_geography,original,1.0,3,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_government_and_politics,original,0.75,4,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_macroeconomics,original,0.5,2,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_mathematics,original,1.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_microeconomics,original,1.0,1,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_psychology,original,0.5,2,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,high_school_statistics,original,0.3333333333333333,3,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,human_aging,original,1.0,3,107,0.7663551401869159,107,,,,,
gpt-4o-mini,original,human_sexuality,original,0.75,4,107,0.7663551401869159,107,,,,,
